0.001248,0.001250,0.001239,0.001216,0.001182,0.001138,0.001085,0.001023,0.000956,0.000885
0.001293,0.001295,0.001284,0.001261,0.001226,0.001180,0.001125,0.001062,0.000993,0.000918
0.001327,0.001330,0.001319,0.001296,0.001260,0.001214,0.001157,0.001093,0.001021,0.000946
0.001351,0.001354,0.001344,0.001320,0.001284,0.001237,0.001180,0.001115,0.001042,0.000965
0.001363,0.001367,0.001357,0.001334,0.001298,0.001251,0.001193,0.001127,0.001055,0.000977
0.001364,0.001368,0.001359,0.001336,0.001301,0.001254,0.001197,0.001131,0.001058,0.000981
0.001354,0.001358,0.001349,0.001327,0.001292,0.001246,0.001190,0.001125,0.001053,0.000976
0.001332,0.001337,0.001328,0.001307,0.001273,0.001228,0.001173,0.001109,0.001039,0.000963
0.001300,0.001305,0.001297,0.001276,0.001244,0.001201,0.001147,0.001085,0.001017,0.000943
0.001257,0.001263,0.001256,0.001237,0.001206,0.001164,0.001112,0.001053,0.000987,0.000916
0.001207,0.001212,0.001206,0.001188,0.001159,0.001119,0.001070,0.001013,0.000950,0.000882
0.001148,0.001154,0.001149,0.001132,0.001104,0.001067,0.001021,0.000967,0.000907,0.000842
