0.001079,0.001085,0.001080,0.001065,0.001040,0.001006,0.000963,0.000913,0.000857,0.000796
0.001120,0.001126,0.001122,0.001107,0.001081,0.001046,0.001002,0.000950,0.000892,0.000830
0.001152,0.001160,0.001156,0.001141,0.001115,0.001079,0.001034,0.000981,0.000922,0.000858
0.001176,0.001184,0.001181,0.001166,0.001140,0.001104,0.001059,0.001005,0.000945,0.000880
0.001190,0.001199,0.001197,0.001182,0.001157,0.001120,0.001075,0.001021,0.000960,0.000895
0.001195,0.001205,0.001203,0.001189,0.001164,0.001128,0.001083,0.001029,0.000968,0.000903
0.001190,0.001200,0.001199,0.001186,0.001161,0.001126,0.001081,0.001028,0.000968,0.000903
0.001176,0.001186,0.001186,0.001173,0.001150,0.001115,0.001072,0.001020,0.000961,0.000896
0.001152,0.001163,0.001163,0.001151,0.001129,0.001096,0.001054,0.001003,0.000946,0.000883
0.001120,0.001131,0.001131,0.001121,0.001099,0.001068,0.001027,0.000979,0.000923,0.000862
0.001079,0.001091,0.001092,0.001082,0.001062,0.001032,0.000994,0.000947,0.000894,0.000835
